key,label,ok,severity,evidence,action
bff_reachable,BFF 可访问,false,P0,"status=404, ok=undefined",
backend_write_gate,后端写入总闸,false,P0,readOnlyMode=undefined,以 READ_ONLY_MODE=false CHILLER_READ_ONLY_MODE=false 重启 BFF
policy_enforced,FCU 策略 enforced,false,P0,"enabled=true, mode=shadow",
subsystem_write_enabled,子系统写总闸,false,P0,"subsystemWriteEnabled=false, boundary=read_only",
adapter_configured,BA 写适配器已配置,false,P0,dispatchAdapter=none,
execution_gate_open,全局执行闸门,false,P0,"dispatchAllowed=false, blocked=mode_enforced/subsystem_write_enabled/dispatch_adapter_configured/whitelist_not_empty/site_authorization_approved/site_authorization_owner_recorded/site_authorization_window_configured/site_authorization_window_active/ba_write_confirm_armed/final_rollout_confirm_armed/backend_not_readonly",
whitelist_contains_canary,白名单包含首台 Canary,false,P0,LZBGS in whitelist=false,
canary_command_mapping,Canary 写点映射完整,true,P0,"point=设置温度, tag=LZBGS-508-40469, value=25.5",
canary_snapshot_quality,Canary 当前快照质量,false,P0,snapshot missing,
ba_write_confirm,BA 写入确认短语,false,P0,FCU_SMALL_BATCH_CONFIRM=missing,export FCU_SMALL_BATCH_CONFIRM=I_UNDERSTAND_REAL_BA_WRITE
final_rollout_confirm,最终控制总确认短语,false,P1,FCU_FINAL_CONTROL_ROLLOUT_CONFIRM=missing,export FCU_FINAL_CONTROL_ROLLOUT_CONFIRM=I_UNDERSTAND_REAL_BA_WRITE
