json_field,source_step_or_gate,release_impact,missing_default_behavior,affects_default_release,notes
version,verify_gates_cmd literal v1.0,info,fail_closed_if_missing,no,schema/version marker
generatedAt,verify_gates_cmd generated by date -u,info,fail_closed_if_missing,no,snapshot timestamp
overall,derived from passedCount==totalCount (7),blocking,default_to_FAIL,yes,final gate summary
passedCount,sum of rc1..rc7 equals zero checks,blocking,default_to_0,yes,count of passed gates
totalCount,constant 7 in verify_gates_cmd,blocking,default_to_7_and_validate,yes,gate cardinality baseline
gates[].name,static gate name registry (7 items),info,fail_closed_if_missing_or_unknown,yes,semantic key for each gate item
gates[].ok,per-gate (exitCode==0),blocking,default_to_false,yes,boolean pass/fail per gate
gates[].exitCode,raw per-gate command return code,blocking,default_to_1,yes,integer rc per gate
gates[name=acceptance-report],npm run check:acceptance-report,blocking,nonzero_rc_blocks,yes,gate item mapping
gates[name=status-json],npm run check:status-json,blocking,nonzero_rc_blocks,yes,gate item mapping
gates[name=release-snapshot],npm run check:release-snapshot with RELEASE_SNAPSHOT_PATH,blocking,nonzero_rc_blocks,yes,gate item mapping
gates[name=release-snapshot-index],npm run check:release-snapshot-index with RELEASE_SNAPSHOT_INDEX_PATH,blocking,nonzero_rc_blocks,yes,gate item mapping
gates[name=release-snapshot-diff],npm run check:release-snapshot-diff with RELEASE_SNAPSHOT_DIFF_PATH,blocking,nonzero_rc_blocks,yes,gate item mapping
gates[name=release-snapshot-consistency],release_snapshot_consistency_cmd --json,blocking,nonzero_rc_blocks,yes,gate item mapping
gates[name=release-ready-brief],npm run check:release-ready-brief with RELEASE_READY_SYNC_PATH,blocking,nonzero_rc_blocks_fail_closed,yes,gate item mapping includes brief contract
