page,field,display_name,current_source,status,blocks_first_version,degrade_placeholder,notes
趋势分析页,station_total_power_kw,冷站总功率,"/dashboard/overview.energyCards.totalPowerKw; /dashboard/trends.stats[metric=totalPowerKw]",ready,no,no,"overview live 已返回 0.3；首版可直接做最新值卡片"
趋势分析页,chilled_delta_t_c,冷冻水温差,"/dashboard/overview.energyCards.chilledDeltaT; /dashboard/trends.stats[metric=chilledDeltaT]",ready,no,no,"runtime-enhanced 已确认 null -> 0.2"
趋势分析页,cooling_delta_t_c,冷却水温差,"/dashboard/overview.energyCards.coolingDeltaT; /dashboard/trends.stats[metric=coolingDeltaT]",ready,no,no,"runtime-enhanced 已确认 null -> 0.4"
趋势分析页,station_cop,冷站COP,"/dashboard/overview.energyCards.currentCop; /dashboard/trends.stats[metric=currentCop]",partial,no,yes,"值已恢复但 currentCop=0 仍需语义复核；首版建议 --/待校验"
趋势分析页,trend_ts,趋势时间点,/dashboard/trends.series[].points[].t,partial,yes,yes,"真曲线依赖时间轴；当前缺稳定 runtime 复证，可先走 noSeries/degradedHint"
趋势分析页,trend_value,趋势点值,/dashboard/trends.series[].points[].v,partial,yes,yes,"TrendPanel 需要连续有效点；当前先支持空态/连续性不足提示"
告警页,alarm_critical_count,紧急告警数,/dashboard/overview.alarmSummary.high,ready,no,no,"live overview 已返回 high=3"
告警页,alarm_major_count,严重告警数,/dashboard/overview.alarmSummary.medium,ready,no,no,"字段语义与展示名已对齐"
告警页,alarm_minor_count,一般告警数,/dashboard/overview.alarmSummary.low,ready,no,no,"首版可直接做分级计数卡"
告警页,anomaly_severity,异常等级,/anomalies/summary.latestEvents[].severity,partial,no,yes,"结构已定义但本轮 live 未稳定复证；可先保留 severity badge 位置"
告警页,latest_alarm_time,最近告警时间,/anomalies/summary.latestEvents[].occurredAt,partial,no,yes,"缺值时显示 --；不伪造最近时间"
告警页,alarm_data_stale,告警数据陈旧,/anomalies/summary.diagnosisFlags.staleAlarmFeed,partial,no,yes,"当前为语义近似路径，建议先只做顶部提示，不直接业务化"
告警页,anomaly_state,异常状态,/anomalies/summary.latestEvents[].state,missing,yes,yes,"field-dictionary 已定义但当前 DTO 未暴露；阻断进行中/已恢复筛选"
