优先级,类别,名称,Modbus寄存器,点位编码建议,读写类型,权限等级,单位,系数,描述,控制风险,现场只需确认,不确认的系统处理
P0,冷却塔Approach,SY冷却塔温度手自动,41325,SY-1-509-41325,RW,1,,1,1自动；0手动,高-启停/模式类写点,确认这些点在当前PLC逻辑中的实际含义；尤其确认41413写入后是否被PLC采纳、是否受41325手自动影响。,只允许shadow建议和人工审阅，不进入assisted/enforced。
P0,冷却塔Approach,SY冷却温度上限,41409,SY-1-509-41409,RW,1,℃,1,,中-设定/目标类写点,确认这些点在当前PLC逻辑中的实际含义；尤其确认41413写入后是否被PLC采纳、是否受41325手自动影响。,只允许shadow建议和人工审阅，不进入assisted/enforced。
P0,冷却塔Approach,SY冷却温度下限,41411,SY-1-509-41411,RW,1,℃,1,,中-设定/目标类写点,确认这些点在当前PLC逻辑中的实际含义；尤其确认41413写入后是否被PLC采纳、是否受41325手自动影响。,只允许shadow建议和人工审阅，不进入assisted/enforced。
P0,冷却塔Approach,SY冷却回水手动值,41413,SY-1-509-41413,RW,1,℃,1,,中-设定/目标类写点,确认这些点在当前PLC逻辑中的实际含义；尤其确认41413写入后是否被PLC采纳、是否受41325手自动影响。,只允许shadow建议和人工审阅，不进入assisted/enforced。
P0,冷却塔Approach,SY冷却回水目标值,41415,SY-1-509-41415,R,0,℃,1,,中-设定/目标类写点,确认这些点在当前PLC逻辑中的实际含义；尤其确认41413写入后是否被PLC采纳、是否受41325手自动影响。,只允许shadow建议和人工审阅，不进入assisted/enforced。
P0,冷却塔Approach,SY冷却回水自动值,41417,SY-1-509-41417,R,0,℃,1,,低-只读或未标可写,确认这些点在当前PLC逻辑中的实际含义；尤其确认41413写入后是否被PLC采纳、是否受41325手自动影响。,只允许shadow建议和人工审阅，不进入assisted/enforced。
P0,泵频率修正写点,CHP1频率修正,41307,SY-1-509-41307,RW,1,Hz,1,1Hz,中-设定/目标类写点,确认“频率修正”是偏置量还是绝对频率；确认上下限、斜率、最小流量保护是否在PLC内完成。,泵Delta-T保持GO_SHADOW_ONLY，不允许assisted。
P0,泵频率修正写点,CHP2频率修正,41308,SY-1-509-41308,RW,1,Hz,1,1Hz,中-设定/目标类写点,确认“频率修正”是偏置量还是绝对频率；确认上下限、斜率、最小流量保护是否在PLC内完成。,泵Delta-T保持GO_SHADOW_ONLY，不允许assisted。
P0,泵频率修正写点,CHP3频率修正,41309,SY-1-509-41309,RW,1,Hz,1,1Hz,中-设定/目标类写点,确认“频率修正”是偏置量还是绝对频率；确认上下限、斜率、最小流量保护是否在PLC内完成。,泵Delta-T保持GO_SHADOW_ONLY，不允许assisted。
P0,泵频率修正写点,CHP4频率修正,41310,SY-1-509-41310,RW,1,Hz,1,1Hz,中-设定/目标类写点,确认“频率修正”是偏置量还是绝对频率；确认上下限、斜率、最小流量保护是否在PLC内完成。,泵Delta-T保持GO_SHADOW_ONLY，不允许assisted。
P0,泵频率修正写点,CHP5频率修正,41311,SY-1-509-41311,RW,1,Hz,1,1Hz,中-设定/目标类写点,确认“频率修正”是偏置量还是绝对频率；确认上下限、斜率、最小流量保护是否在PLC内完成。,泵Delta-T保持GO_SHADOW_ONLY，不允许assisted。
P0,泵频率修正写点,CHP6频率修正,41312,SY-1-509-41312,RW,1,Hz,1,1Hz,中-设定/目标类写点,确认“频率修正”是偏置量还是绝对频率；确认上下限、斜率、最小流量保护是否在PLC内完成。,泵Delta-T保持GO_SHADOW_ONLY，不允许assisted。
P0,泵频率修正写点,CWP1频率修正,41313,SY-1-509-41313,RW,1,Hz,1,1Hz,中-设定/目标类写点,确认“频率修正”是偏置量还是绝对频率；确认上下限、斜率、最小流量保护是否在PLC内完成。,泵Delta-T保持GO_SHADOW_ONLY，不允许assisted。
