check_field,source_field_path,release_impact,requiredness,missing_default_behavior,fail_open_or_closed,affects_default_release,check_coverage,evidence_path,notes
decision,$.decision (fallback: release-snapshot-latest.decision),blocking,required,fail_if_missing_or_invalid_enum,fail-closed,yes,enforced,apps/chiller-bff/scripts/check-release-ready.js#L91,enum GO|NO-GO
exitCode,$.exitCode (fallback: release-snapshot-latest.exitCode),blocking,required,fail_if_missing_or_not_0_or_1,fail-closed,yes,enforced,apps/chiller-bff/scripts/check-release-ready.js#L107,integer 0|1
reasons,$.reasons[] (fallback: release-snapshot-latest.reasons[]),blocking,required,fail_if_missing_or_not_string_array,fail-closed,yes,enforced,apps/chiller-bff/scripts/check-release-ready.js#L113,array of string
diffClass,$.diffClass (fallback: release-snapshot-diff-latest.diffClass),warning,required,fail_if_missing_or_invalid_enum,fail-closed,no,enforced,apps/chiller-bff/scripts/check-release-ready.js#L97,enum stable|changed|risk_up|recovery|insufficient_history|error
decisionChanged,$.decisionChanged (fallback: release-snapshot-diff-latest.decisionChanged),warning,nullable,default_to_null_when_missing,fail-open,no,partial,apps/chiller-bff/scripts/check-release-ready.js#L132,validated only when field exists
consistencyOk,$.consistencyOk (fallback: release-snapshot-consistency-latest.decision==GO or null),blocking,nullable,default_to_null_when_missing_should_be_treated_not_ready_semantically,fail-open,yes,not_enforced,apps/chiller-bff/scripts/check-release-ready.js#L77,present in semantics but not currently validated
verifyGatesOk,$.verifyGatesOk (fallback: null),blocking,nullable,default_to_null_when_missing_should_be_treated_not_ready_semantically,fail-open,yes,not_enforced,apps/chiller-bff/scripts/check-release-ready.js#L78,present in semantics but not currently validated
source,check_context.loaded.source (latest_file|fallback),blocking,required,fail_if_missing,fail-closed,yes,enforced,apps/chiller-bff/scripts/check-release-ready.js#L35-L37|apps/chiller-bff/scripts/check-release-ready.js#L261-L263,missing source must block
generatedAt,$.generatedAt,warning,required,default_to_unknown_for_display,fail-open,no,not_enforced,docs/release-ready-latest-contract-v1.md#L14,freshness evidence field not currently hard-validated in checker
summary,stats,blocking=6|warning=3,N/A,N/A,N/A,no,N/A,docs/release-ready-latest-check-field-map-v1.1.md#L72,document-only upgrade
