rule_type,rule_id,rule_name,left_path,right_path,check_expression,on_fail_attribution,severity,impact_on_default_release,recommended_action
consistency,IDX-C001,latest file exists,docs/release-snapshot-latest.json,N/A,file_exists(latest),snapshot_missing,advisory,no,regenerate latest via scripts/chiller_ctl.sh release-snapshot
consistency,IDX-C002,index file exists,docs/release-snapshot-index-latest.json,N/A,file_exists(index),snapshot_missing,advisory,no,refresh index via scripts/chiller_ctl.sh release-snapshot-index --limit=20
consistency,IDX-C003,index has entry0,index.entries[0],N/A,len(index.entries)>=1,index_empty,advisory,no,check archive dir and rerun release-snapshot-index
consistency,IDX-C004,entry0 source file equals latest archive,index.entries[0].file,latest.artifacts.archiveJson,index.entries[0].file==latest.artifacts.archiveJson,file_timing_or_index_stale,advisory,no,rerun release-snapshot-index and compare again
consistency,IDX-C005,decision parity,index.entries[0].decision,latest.decision,index.entries[0].decision==latest.decision,file_timing_or_index_stale|manual_edit_or_out_of_band_mutation,advisory,no,check timing then inspect archive mutation
consistency,IDX-C006,reasons parity,index.entries[0].reasons,latest.reasons,sort(index.entries[0].reasons)==sort(latest.reasons),file_timing_or_index_stale|manual_edit_or_out_of_band_mutation,advisory,no,rerun index then diff arrays
consistency,IDX-C007,advisories parity,index.entries[0].advisories,latest.advisories,sort(index.entries[0].advisories)==sort(latest.advisories),file_timing_or_index_stale|manual_edit_or_out_of_band_mutation,advisory,no,rerun index then diff arrays
consistency,IDX-C008,generatedAt parity,index.entries[0].generatedAt,latest.generatedAt,index.entries[0].generatedAt==latest.generatedAt,file_timing_or_index_stale,info,no,allow short lag then recheck
attribution,IDX-A001,parse failure signature,index.entries[0].decision,index.entries[0].reasons,index.decision==UNKNOWN && has(index.reasons,snapshot_parse_failed),snapshot_parse_failed,advisory,no,repair broken archive json or regenerate snapshot
attribution,IDX-A002,timing/order drift,index.entries[0].generatedAt,latest.generatedAt,(IDX-C004 fail) && index.generatedAt < latest.generatedAt,file_timing_or_index_stale,advisory,no,run release-snapshot-index refresh
attribution,IDX-A003,manual edit suspicion,IDX-C004 status,IDX-C005/006/007 status,IDX-C004 pass && any(IDX-C005,IDX-C006,IDX-C007 fail) && not IDX-A001,manual_edit_or_out_of_band_mutation,advisory,no,audit file changes and rebuild snapshot artifacts
