"站点","生成时间","百益信项目ID","百益信项目","设备ID","设备名称","设备类型","系统建议用途","复核状态","业主确认用途","业主确认系统","安装位置","配电箱/回路","在线状态","开关状态","当前功率kW","累计电量kWh","功率因数","电压V","电流A","温度C","漏电流mA","诊断","控制边界","现场备注"
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","559C240907154653","备用","1PNL","备用/其他","待业主确认","","","","","online","open","0.007","531.1","0.58","234.18","0.06","47","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","B6FD240906172540","办公室插座","1PNL","插座","待业主确认","","","","","online","open","0.211","3121.82","0.96","235.82","0.95","37","2.61","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","E62D240906172104","卡2插座","1PNL","插座","待业主确认","","","","","online","open","0.144","2661.12","0.92","235.31","0.67","42","1.5","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","69B0240906171250","卡4插座","1PNL","插座","需复核诊断","","","","","online","open","0.033","843.47","0.37","235.05","0.4","43","1.58","功率因数偏低","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","1C63240906171508","卡5插座","1PNL","插座","需复核诊断","","","","","online","open","0.027","53.39","0.39","234.68","0.3","51","0","功率因数偏低","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","A3EA240906172321","卡6插座","1PNL","插座","待业主确认","","","","","online","open","0.136","2555.44","0.75","236.02","0.77","47","3.05","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","337A240907154149","前台插座","1PNL","插座","待业主确认","","","","","online","open","0.074","1519.02","0.64","234.48","0.51","47","1.59","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","C40B240906170539","墙面插座","1PNL","插座","待业主确认","","","","","online","open","0","52.17","0","234.47","0","51","0","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","276E240906172212","周总插座","1PNL","插座","待业主确认","","","","","online","open","0.2","2480.45","0.92","235.25","0.94","47","2.62","","read_only_no_open_close_no_scene_execute",""
"140","2026-06-22T13:16:27.972Z","P240823001","盛世绿能电话厅","62A9240907153351","茶水墙插","1PNL","后勤用电","待业主确认","","","","","online","open","1.701","1367.77","1","234.36","7.26","48","0","","read_only_no_open_close_no_scene_execute",""
