check_id,severity,status,dimension,metric,check_target,runtime_evidence_path,gap_description,owner,evidence,fix_priority
NDC-001,blocking,已覆盖/已验证,field_exists,station_total_power_kw,overview.energyCards.totalPowerKw numeric gate,overview.energyCards.totalPowerKw,"v1.8 已补齐 overview 数值门禁并通过运行态验证",bff,"/tmp/chiller_probe.json: overview.energyCards.totalPowerKw=0.3",P0-closed
NDC-002,blocking,已覆盖/已验证,field_exists,chilled_delta_t_c,overview.energyCards.chilledDeltaT numeric gate,overview.energyCards.chilledDeltaT,"v1.8 已补齐 overview 数值门禁并通过运行态验证",bff,"/tmp/chiller_probe.json: overview.energyCards.chilledDeltaT=0.1",P0-closed
NDC-003,blocking,已覆盖/已验证,field_exists,cooling_delta_t_c,overview.energyCards.coolingDeltaT numeric gate,overview.energyCards.coolingDeltaT,"v1.8 已补齐 overview 数值门禁并通过运行态验证",bff,"/tmp/chiller_probe.json: overview.energyCards.coolingDeltaT=0.4",P0-closed
NDC-004,blocking,已覆盖/已验证,field_exists,cooling_delta_t_c,trends.series[metric=coolingDeltaT] points/value gate,trends.series[metric=coolingDeltaT].points[*].v,"v1.8 已补齐 coolingDeltaT 趋势序列门禁并通过运行态验证",legacy,"/tmp/chiller_probe.json: trends.series[metric=coolingDeltaT].points.length=144",P0-closed
NDC-005,warning,warning-open,unit_consistency,station_total_power_kw,unit gate for kW,overview.energyCards.totalPowerKw,"readiness 清单仍未显式定义 station_total_power_kw 单位一致性检查（kW）",bff,"field-display-dictionary-v1.json: station_total_power_kw.unitDisplay=kW",P1-open
NDC-006,warning,warning-open,unit_consistency,chilled_delta_t_c,unit gate for ℃/degC,overview.energyCards.chilledDeltaT,"readiness 清单仍未显式定义 chilled_delta_t_c 单位一致性检查（℃/degC）",bff,"field-display-dictionary-v1.json: chilled_delta_t_c.unitDisplay=℃/degC",P1-open
NDC-007,warning,warning-open,unit_consistency,cooling_delta_t_c,unit gate for ℃/degC,overview.energyCards.coolingDeltaT,"readiness 清单仍未显式定义 cooling_delta_t_c 单位一致性检查（℃/degC）",bff,"field-display-dictionary-v1.json: cooling_delta_t_c.unitDisplay=℃/degC",P1-open
NDC-008,warning,warning-open,unit_consistency,station_cop,unit gate for dimensionless(-),overview.energyCards.currentCop,"readiness 清单仍未显式定义 station_cop 单位一致性检查（无量纲 -）",bff,"field-display-dictionary-v1.json: station_cop.unitDisplay='-'",P1-open
NDC-009,warning,warning-open,compare_constraint,station_total_power_kw,cross-site comparability guard,recommendations.sourceStatus.sources[key=metric.station_total_power_kw],"v1.1 仅对 station_cop 定义 comparability_guard，缺少 station_total_power_kw 的跨站比较前置约束",shell,"metric-availability-field-mapping-v1.md 第5/6节覆盖四核心指标",P1-open
NDC-010,warning,warning-open,compare_constraint,chilled_delta_t_c,cross-site comparability guard,recommendations.sourceStatus.sources[key=metric.chilled_delta_t_c],"v1.1 缺少 chilled_delta_t_c 跨站点比较 guard（时间窗/采样/缺失策略/错误分类一致）",shell,"metric-availability-field-mapping-v1.md 四核心可比条件",P1-open
NDC-011,warning,warning-open,compare_constraint,cooling_delta_t_c,cross-site comparability guard,recommendations.sourceStatus.sources[key=metric.cooling_delta_t_c],"v1.1 缺少 cooling_delta_t_c 跨站点比较 guard（时间窗/采样/缺失策略/错误分类一致）",shell,"metric-availability-field-mapping-v1.md 四核心可比条件",P1-open
NDC-012,warning,warning-open,i18n_completeness,core_4_metrics,readiness-level i18n gate,overview.energyCards.totalPowerKw|overview.energyCards.chilledDeltaT|overview.energyCards.coolingDeltaT|overview.energyCards.currentCop,"field-display 已三语完整，但 readiness 清单未设置 core4 三语完整性门禁，仍有展示层回归漏检风险",shell,"field-display-dictionary-v1.json 已有 displayName/unitDisplay/shortHint zh/en/vi",P1-open
