category,file_path,evidence,current_shape,classification,allowed_to_keep,counts_in_total,counts_in_external,note
bff_internal_compat,/Users/billchow/Documents/智慧冷冻站/apps/chiller-bff/src/adapters/legacyAlarmAdapter.js:13,legacy_input_normalization,accepts high|medium|low and maps to critical|major|minor|normal,allowed_compat,yes,yes,no,这是旧上游输入兼容层，不对外输出旧枚举，允许保留
bff_external_output,/Users/billchow/Documents/智慧冷冻站/apps/chiller-bff/src/services/dashboardService.js:23,dashboard_overview_alarm_summary,outputs high|medium|low from critical|major|minor,must_clear_external,no,yes,yes,虽然是兼容链路但已经跨出 BFF 外部边界，必须清掉
frontend_dto,/Users/billchow/Documents/智慧冷冻站/apps/chiller-shell-v1/src/services/bffClient.ts:47,dashboard_overview_alarmSummary_dto,DashboardOverviewDto.alarmSummary = total|high|medium|low,must_clear_external,no,yes,yes,前端 build-time contract 仍绑定旧三档
frontend_display,/Users/billchow/Documents/智慧冷冻站/apps/chiller-shell-v1/src/components/dashboard/RealtimeStatusGrid.tsx:18,realtime_status_grid_alarm_note,reads overview.alarmSummary.high|medium|low and renders high/medium/low copy,must_clear_external,no,yes,yes,首页实时状态仍直接展示旧三档
frontend_display,/Users/billchow/Documents/智慧冷冻站/apps/chiller-shell-v1/src/i18n/zhCN.ts:147,realtime_status_copybook,realtimeStatus uses 高等级|中等级|低等级 with en/vi peers,must_clear_external,no,yes,yes,这套文案仍在首页实时状态展示链路上
frontend_display,/Users/billchow/Documents/智慧冷冻站/apps/chiller-shell-v1/src/pages/DashboardPage.tsx:207,dashboard_anomaly_empty_state,empty anomaly preview falls back to zhCN.severity.low,must_clear_external,no,yes,yes,空态异常预览仍会向用户展示旧 severity 词
frontend_display,/Users/billchow/Documents/智慧冷冻站/apps/chiller-shell-v1/src/i18n/hvacCopybook.ts:244,getSeverityCopy_legacy_guard,helper still accepts high|medium|low and localizes them,allowed_compat,yes,yes,no,这是前端兜底兼容层；只吸收旧值不要求立刻删除
openapi_example,/Users/billchow/Documents/智慧冷冻站/apps/chiller-bff/openapi/bff-v1.yaml:481,alarm_counts_schema,AlarmCounts = total|high|medium|low,must_clear_external,no,yes,yes,OpenAPI schema 仍定义 dashboard overview 旧三档
openapi_example,/Users/billchow/Documents/智慧冷冻站/apps/chiller-bff/openapi/examples/dashboard-overview.json:25,dashboard_overview_example,alarmSummary example = high|medium|low,must_clear_external,no,yes,yes,样例会继续误导 FE/BE 认为 overview 仍是旧合同
openapi_example,/Users/billchow/Documents/智慧冷冻站/apps/chiller-bff/openapi/examples/anomalies-summary.json:8,anomalies_summary_example,counts/severity example still uses high|medium|low,must_clear_external,no,yes,yes,实现已切四档但 example 仍停留在旧三档
docs,/Users/billchow/Documents/智慧冷冻站/docs/copy-data-semantics-check-v1.md:16,copy_semantics_doc,documents 高等级|中等级|低等级 -> alarmSummary.high|medium|low,must_clear_external,no,yes,yes,仍会把旧三档当成当前展示基线
docs,/Users/billchow/Documents/智慧冷冻站/docs/page-migration-data-readiness-v1.md:20,page_migration_readiness_md,alarm page readiness still cites overview high=3,must_clear_external,no,yes,yes,页面迁移判断仍沿用旧 overview 口径
docs,/Users/billchow/Documents/智慧冷冻站/docs/page-migration-data-readiness-v1.csv:2,page_migration_readiness_csv,CSV still points to dashboard.overview.alarmSummary.high|medium|low,must_clear_external,no,yes,yes,可被主控/表格直接消费因此需同步清理
docs,/Users/billchow/Documents/智慧冷冻站/docs/sprint1-trend-alarm-data-ready-v1.md:73,sprint1_ready_md,alarm counts still reference overview.alarmSummary.high|medium|low,must_clear_external,no,yes,yes,Sprint1 ready 文档仍把旧路径写成 ready
docs,/Users/billchow/Documents/智慧冷冻站/docs/sprint1-trend-alarm-data-ready-v1.csv:8,sprint1_ready_csv,CSV still references overview.alarmSummary.high|medium|low,must_clear_external,no,yes,yes,会继续误导告警首版依赖旧三档
docs,/Users/billchow/Documents/智慧冷冻站/docs/sprint1-alarm-page-data-pack-v1.md:41,alarm_page_data_pack_md,top summary and fallback sum rules still reference counts.high|medium|low,must_clear_external,no,yes,yes,属于直接给 FE/BFF 开工的数据包
docs,/Users/billchow/Documents/智慧冷冻站/docs/sprint1-alarm-page-data-pack-v1.csv:2,alarm_page_data_pack_csv,CSV still references anomalies.summary.counts.high|medium|low and overview.alarmSummary.high|medium|low,must_clear_external,no,yes,yes,这是直接消费文件必须更新
docs,/Users/billchow/Documents/智慧冷冻站/docs/sprint1-anomalies-list-contract-v1.md:68,anomalies_list_contract_md,contract example severity = high|medium,must_clear_external,no,yes,yes,list contract 仍保留旧枚举示例
docs,/Users/billchow/Documents/智慧冷冻站/docs/sprint1-alarm-page-contract-pack-v1.md:67,alarm_page_contract_pack_md,contract example severity = high,must_clear_external,no,yes,yes,页面合同包仍向外暴露旧 severity 示例
docs,/Users/billchow/Documents/智慧冷冻站/docs/sprint1-alarm-page-hvac-pack-v1.md:37,alarm_page_hvac_pack_md,pack uses counts.total/high/medium/low and high/medium/low wording,must_clear_external,no,yes,yes,运行话术与字段清单仍基于旧三档
docs,/Users/billchow/Documents/智慧冷冻站/docs/sprint1-alarm-page-hvac-pack-v1.json:30,alarm_page_hvac_pack_json,json pack uses counts.high|medium|low and high/medium/low wording,must_clear_external,no,yes,yes,结构化包会被程序或前端直接复用
docs,/Users/billchow/Documents/智慧冷冻站/docs/sprint1-anomalies-list-data-pack-v1.md:30,anomalies_list_data_pack_md,doc still states current summary example and AlarmPage use high|medium|low,must_clear_external,no,yes,yes,联调说明未更新到最新仓库实现
