类别,编码,名称
机组,CH1,1#冷水机组
机组,CH2,2#冷水机组
机组,CH3,3#冷水机组
机组,CH4,4#冷水机组
机组,CH5,5#冷水机组
机组,CH6,6#冷水机组
机组,CH7,7#冷水机组
冷却泵,CWP1,1#冷机组冷却泵
冷却泵,CWP2,2#冷机组冷却泵
冷却泵,CWP3,3#冷机组冷却泵
冷却泵,CWP4,4#冷机组冷却泵
冷却泵,CWP5,5#冷机组冷却泵
冷却泵,CWP6,6#冷机组冷却泵
冷却泵,CWP7,7#冷机组冷却泵
冷冻泵,CHP1,1#冷机组冷冻泵
冷冻泵,CHP2,2#冷机组冷冻泵
冷冻泵,CHP3,3#冷机组冷冻泵
冷冻泵,CHP4,4#冷机组冷冻泵
冷冻泵,CHP5,5#冷机组冷冻泵
冷冻泵,CHP6,6#冷机组冷冻泵
冷冻泵,CHP7,7#冷机组冷冻泵
阀门,FM207,1#冷却塔进口电动阀
阀门,FM208,1#冷却塔出口电动阀
阀门,FM209,2#冷却塔进口电动阀
阀门,FM210,2#冷却塔出口电动阀
阀门,FM211,3#冷却塔进口电动阀
阀门,FM212,3#冷却塔出口电动阀
阀门,FM213,4#冷却塔进口电动阀
阀门,FM214,4#冷却塔出口电动阀
阀门,FM215,5#冷却塔进口电动阀
阀门,FM216,5#冷却塔出口电动阀
阀门,FM217,6#冷却塔进口电动阀
阀门,FM218,6#冷却塔出口电动阀
阀门,FM101,1#冷机冷冻水出水电动阀
阀门,FM102,2#冷机冷冻水出水电动阀
阀门,FM103,3#冷机冷冻水出水电动阀
阀门,FM104,4#冷机冷冻水出水电动阀
阀门,FM105,5#冷机冷冻水出水电动阀
阀门,FM106,6#冷机冷冻水出水电动阀
阀门,FM201,1#冷机冷却水出水电动阀
阀门,FM202,2#冷机冷却水出水电动阀
阀门,FM203,3#冷机冷却水出水电动阀
阀门,FM204,4#冷机冷却水出水电动阀
阀门,FM205,5#冷机冷却水出水电动阀
阀门,FM206,6#冷机冷却水出水电动阀
阀门,FM107,冷冻水出水、回水管道压力调节阀
风机,CT11,1#冷却塔风机1
风机,CT12,1#冷却塔风机2
风机,CT13,1#冷却塔风机3
风机,CT14,1#冷却塔风机4
风机,CT15,1#冷却塔风机5
风机,CT16,1#冷却塔风机6
风机,CT21,2#冷却塔风机1
风机,CT22,2#冷却塔风机2
风机,CT23,2#冷却塔风机3
风机,CT24,2#冷却塔风机4
风机,CT25,2#冷却塔风机5
风机,CT26,2#冷却塔风机6
风机,CT31,3#冷却塔风机1
风机,CT32,3#冷却塔风机2
风机,CT33,3#冷却塔风机3
风机,CT34,3#冷却塔风机4
风机,CT35,3#冷却塔风机5
风机,CT36,3#冷却塔风机6
风机,CT41,4#冷却塔风机1
风机,CT42,4#冷却塔风机2
风机,CT43,4#冷却塔风机3
风机,CT44,4#冷却塔风机4
风机,CT45,4#冷却塔风机5
风机,CT46,4#冷却塔风机6
风机,CT51,5#冷却塔风机1
风机,CT52,5#冷却塔风机2
风机,CT53,5#冷却塔风机3
风机,CT54,5#冷却塔风机4
风机,CT55,5#冷却塔风机5
风机,CT56,5#冷却塔风机6
风机,CT61,6#冷却塔风机1
风机,CT62,6#冷却塔风机2
风机,CT63,6#冷却塔风机3
传感器,HT001,室外温湿度传感器
传感器,P101,冷冻水一分支回水压力
传感器,P102,冷冻水二分支回水压力
传感器,P103,冷冻水三分支回水压力
传感器,P104,冷冻水回水总管压力
传感器,P105,冷冻水供水总管压力
传感器,T101,冷冻水回水总管温度
传感器,T102,冷冻水供水总管温度
传感器,P201,1-5#冷却塔冷却水出水总管压力
传感器,P202,1-5#冷却塔冷却水回水总管压力
传感器,P203,6#冷却塔冷却水出水总管压力
传感器,P204,6#冷却塔冷却水回水总管压力
传感器,HT1,1#冷却塔液位计
传感器,HT2,2#冷却塔液位计
传感器,HT3,3#冷却塔液位计
传感器,HT4,4#冷却塔液位计
传感器,T101,冷冻主管回水温度
传感器,T102,冷冻主管供水温度
传感器,T301,冷却供水温度
传感器,T302,冷却回水温度
传感器,FT301,冷却回水流量
传感器,T101,冷冻回水主管温度
传感器,T102,冷冻供水主管温度
传感器,T401,冷却进水温度1
传感器,T402,冷却进水温度2
传感器,T403,冷却进水温度3
传感器,T404,冷却进水温度4
传感器,T405,冷却进水温度5
传感器,T406,冷却进水温度6
传感器,T407,冷却出水温度1
传感器,T408,冷却出水温度2
传感器,T409,冷却出水温度3
传感器,T410,冷却出水温度4
传感器,T411,冷却出水温度5
传感器,T412,冷却出水温度6
传感器,FT401,冷却塔流量1
传感器,FT402,冷却塔流量2
传感器,FT403,冷却塔流量3
传感器,FT404,冷却塔流量4
传感器,FT405,冷却塔流量5
传感器,FT406,冷却塔流量6
传感器,T201,支路1供水温度
传感器,T202,支路2供水温度
传感器,T203,支路3供水温度
传感器,T204,支路1回水温度
传感器,T205,支路2回水温度
传感器,T206,支路3回水温度
传感器,FT201,支路1回水流量
传感器,FT202,支路2回水流量
传感器,FT203,支路3回水流量
传感器,P301,B10供水压力
传感器,P302,B10回水压力
传感器,P303,B11供水压力
传感器,P304,B11回水压力
传感器,P305,B12供水压力
传感器,P306,B12回水压力
传感器,P307,B13供水压力
传感器,P308,B13回水压力
传感器,T501,B13供水温度
传感器,T502,B13回水温度
传感器,T503,B12供水温度
传感器,T504,B12回水温度
传感器,FT204,B13供水流量
传感器,FT205,B12供水流量
