field_name,field_name_cn,unit,source,refresh_frequency,null_strategy,is_p0,note
site_id,站点ID,-,"path:{siteId}; zsqy_v1.appmanager.appid",实时请求,never_null,true,"BFF主键，当前示例为126lnoffice/126"
site_name,站点名称,-,zsqy_v1.appmanager.appName,实时请求,use_default_empty_string,true,"站点展示名"
generated_at,数据生成时间,-,BFF聚合层生成时间,每次请求,never_null,true,"ISO8601，带时区"
alarm_data_stale,告警数据陈旧标记,-,"zsqy_v1.qs_alarmlog + getAllSubsystemInfo时间对比",每次请求,use_default_false,true,"true表示最新告警超阈值(如24h/72h)"
total_devices,设备总数,台,126lnoffice.drinfo,每次请求,use_default_0,true,"设备清单计数"
operational_device_count,运行类设备数,台,"126lnoffice.drinfo.typeYT=1",每次请求,use_default_0,true,"实体设备数量"
meter_device_count,计量/虚拟设备数,台,"126lnoffice.drinfo.typeYT=2",每次请求,use_default_0,true,"虚拟/计量设备数量"
device_type_count,设备类型数,个,"126lnoffice.drtypeinfo + drinfo",每次请求,use_default_0,true,"按已挂设备去重"
alarm_critical_count,紧急告警数,条,"/{dbName}/getAllSubsystemInfo.alarmInfo",每次请求,use_default_0,true,"中文等级映射到critical"
alarm_major_count,严重告警数,条,"/{dbName}/getAllSubsystemInfo.alarmInfo",每次请求,use_default_0,true,"中文等级映射到major"
alarm_minor_count,一般告警数,条,"/{dbName}/getAllSubsystemInfo.alarmInfo",每次请求,use_default_0,true,"中文等级映射到minor"
alarm_normal_count,正常条目数,条,"/{dbName}/getAllSubsystemInfo.alarmInfo",每次请求,use_default_0,true,"中文等级映射到normal"
latest_alarm_time,最近告警时间,-,"/zsqy/qsAlarmlog/{dbName}/findNewAlarmLog.time",每次请求,use_default_null,true,"无数据返回null"
wet_bulb_temp_c,湿球温度,℃,"126lnoffice.qstag.506-40689; alias:WetBulbTemperature(type=99)",5分钟,return_null,true,"环境基础量"
outdoor_temp_c,室外温度,℃,126lnoffice.qstag.RHT-506-40165,5分钟,return_null,true,"环境基础量"
outdoor_humidity_pct,室外湿度,%,126lnoffice.qstag.RHH-506-40163,5分钟,return_null,true,"环境基础量"
dew_point_temp_c,露点温度,℃,"126lnoffice.qstag.TDTemperature; zsqy_v1.energy_statistics_hour.type=80",5分钟/1小时,return_null,true,"由温湿度公式计算"
chilled_supply_temp_c,冷冻供水温度,℃,"126lnoffice.qstag.506-40673",5分钟,return_null,true,"冷冻总管供水"
chilled_return_temp_c,冷冻回水温度,℃,"126lnoffice.qstag.506-40675",5分钟,return_null,true,"冷冻总管回水"
chilled_delta_t_c,冷冻水温差,℃,"126lnoffice.qstag.chilledWaterTemperatureDifference; zsqy_v1.energy_statistics_hour.type=3",5分钟/1小时,return_null,true,"定义=回水-供水"
cooling_supply_temp_c,冷却供水温度,℃,"126lnoffice.qstag.506-40677",5分钟,return_null,true,"冷却总管供水"
cooling_return_temp_c,冷却回水温度,℃,"126lnoffice.qstag.506-40679",5分钟,return_null,true,"冷却总管回水"
cooling_delta_t_c,冷却水温差,℃,"126lnoffice.qstag.chilledOutWaterTemperatureDifference; zsqy_v1.energy_statistics_hour.type=4",5分钟/1小时,return_null,true,"定义=供水-回水"
station_total_power_kw,冷站实时总功率,kW,"126lnoffice.qstag.totalPower; zsqy_v1.energy_statistics_hour.type=2",5分钟/1小时,return_null,true,"CH+CHP+CWP+CTF功率求和"
station_total_energy_kwh,冷站累计总电能,kWh,"126lnoffice.qstag.totalElectricity; 126lnoffice.qstag.electricEnergyOfCoolingStation; zsqy_v1.energy_statistics_day.type=34",5分钟/1天,return_null,true,"口径风险: 旧字段名totalElectricity文字含义为实时总电量，但实际是累计电能，前后端统一用station_total_energy_kwh"
chiller_power_kw,冷机实时总功率,kW,"126lnoffice.qstag.totalChPower; zsqy_v1.energy_statistics_hour.type=59",5分钟/1小时,return_null,true,"冷机群功率"
chilled_pump_power_kw,冷冻泵实时总功率,kW,"126lnoffice.qstag.totalChpPower; zsqy_v1.energy_statistics_hour.type=60",5分钟/1小时,return_null,true,"冷冻泵群功率"
cooling_pump_power_kw,冷却泵实时总功率,kW,"126lnoffice.qstag.totalCwpPower; zsqy_v1.energy_statistics_hour.type=62",5分钟/1小时,return_null,true,"冷却泵群功率"
cooling_tower_power_kw,冷却塔实时总功率,kW,"126lnoffice.qstag.totalCtPower; zsqy_v1.energy_statistics_hour.type=61",5分钟/1小时,return_null,true,"组合建模规则: 当前无独立CT塔体实例，按CTF(风机)+CTE(电量虚拟)+CTHDE(散热量虚拟)组合聚合"
max_chilled_pump_freq_hz,冷冻泵近60分钟最大频率,Hz,"/zsqy/homepage/{dbName}/getEnergyStatisticsCurve + getRunParamsCurve（冷冻泵频率曲线）",5分钟,use_default_0,true,"规则引擎字段，最近60分钟窗口最大值；缺失时返回0"
chiller_start_stop_count_60m,冷机近60分钟启停次数,次,"/zsqy/homepage/{dbName}/getEnergyStatisticsCurve + getRunParamsCurve（冷机运行状态曲线）",5分钟,use_default_0,true,"规则引擎字段，状态0/1切换次数；缺失时返回0"
chilled_pump_start_stop_count_60m,冷冻泵近60分钟启停次数,次,"/zsqy/homepage/{dbName}/getEnergyStatisticsCurve + getRunParamsCurve（冷冻泵运行状态曲线）",5分钟,use_default_0,true,"规则引擎字段，状态0/1切换次数；缺失时返回0"
cooling_pump_start_stop_count_60m,冷却泵近60分钟启停次数,次,"/zsqy/homepage/{dbName}/getEnergyStatisticsCurve + getRunParamsCurve（冷却泵运行状态曲线）",5分钟,use_default_0,true,"规则引擎字段，状态0/1切换次数；缺失时返回0"
station_cooling_capacity_kw,冷站实时总冷量,kW,"126lnoffice.qstag.totalCoolingCapacity; zsqy_v1.energy_statistics_hour.type=11",5分钟/1小时,return_null,true,"推荐公式=冷冻流量*冷冻温差*1.163；当前现场长期为0时返回null"
station_heat_rejection_kw,冷站瞬时散热量,kW,"126lnoffice.qstag.instantaneousHeatDissipation; zsqy_v1.energy_statistics_hour.type=31",5分钟/1小时,return_null,true,"推荐公式=冷却流量*冷却温差*1.163；当前现场长期为0时返回null"
station_cop,冷站COP,-,"126lnoffice.qstag.coldStationCop; zsqy_v1.energy_statistics_hour.type=12",5分钟/1小时,return_null,true,"分母<=0返回null，禁止Infinity"
thermal_unbalance_rate_pct,热不平衡率,%,"126lnoffice.qstag.thermalUnbalanceRate; zsqy_v1.energy_statistics_hour.type=13",5分钟/1小时,return_null,true,"分母<=0返回null，禁止Infinity"
running_device_count,运行设备数,台,"126lnoffice.drinfo + reg(run点)+qstag+subinfo(subid=25)",5分钟,return_null,true,"规则统计字段"
alarm_device_count,报警设备数,台,"126lnoffice.drinfo + reg(reg_DrShowType in 2/3 or Isalarm=1)+qstag+subinfo",5分钟,return_null,true,"规则统计字段"
trend_ts,趋势点时间,-,"/zsqy/homepage/{dbName}/getEnergyStatisticsCurve; getRunParamsCurve",每次请求,drop_point_if_ts_invalid,true,"统一到yyyy-MM-dd HH:mm"
trend_value,趋势点数值,-,"/zsqy/homepage/{dbName}/getEnergyStatisticsCurve; getRunParamsCurve",每次请求,return_null,true,"原始空值保留null"
trend_latest,序列最新值,-,BFF聚合计算,每次请求,return_null,true,"由points末点得出"
trend_min,序列最小值,-,BFF聚合计算,每次请求,return_null,true,"忽略null后计算"
trend_max,序列最大值,-,BFF聚合计算,每次请求,return_null,true,"忽略null后计算"
anomaly_alarm_id,异常ID,-,/zsqy/qsAlarmlog/{dbName}/findNewAlarmLog.id,每次请求,drop_item_if_missing_id,true,"异常事件主键"
anomaly_occurred_at,异常发生时间,-,/zsqy/qsAlarmlog/{dbName}/findNewAlarmLog.time,每次请求,drop_item_if_invalid_time,true,"统一时区格式"
anomaly_reg_id,异常变量ID,-,/zsqy/qsAlarmlog/{dbName}/findNewAlarmLog.regId,每次请求,return_null,true,"可用于回查reg定义"
anomaly_severity,异常等级,-,"qsAlarmlog.alarmLevel + 映射规则",每次请求,use_default_minor,true,"枚举: critical/major/minor/normal"
anomaly_state,异常状态,-,/zsqy/qsAlarmlog/{dbName}/findNewAlarmLog.alarmstate,每次请求,return_null,true,"0恢复/1进行中(按旧系统约定)"
anomaly_value,异常值,-,/zsqy/qsAlarmlog/{dbName}/findNewAlarmLog.alarmvalue,每次请求,return_null,true,"原值透传字符串"
has_recent_alarms,是否存在近期异常,-,BFF聚合计算,每次请求,use_default_false,true,"按阈值窗口(如24h)计算"
work_order_linked,是否有关联工单,-,"/zsqy/qsworkorder/{dbName}/findWorkOrderList(可选)",每次请求,use_default_false,true,"首期可降级false"
cooling_tower_composite_members,冷却塔组合成员,-,"126lnoffice.drinfo + drtypeinfo(CTF/CTE/CTHDE)",配置更新,return_null,false,"规则字段: 组合成员建议包含 fan, energy_meter_virtual, heat_rejection_virtual"
