序号,名称,设备分类,信号角色,最后修改版本,修改类型,S7地址,S7字,数据类型,Modbus寄存器,Modbus位,描述,单位,系数,读写类型,分组,报警等级,权限等级,网关设备地址,从站地址,控制风险,点位编码建议
1,,其他,remote_status,V3.0,,0,0,Int,40001,,1远程；0就地,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40001
2,,其他,manual_stop,V3.0,,2,2,Int,40002,,1运行；0停止,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40002
3,,报警保护,fault_alarm,V3.0,,4,4,Int,40003,,1故障；0正常,,,,,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40003
4,CHP1远程,冷冻水泵,remote_status,V3.0,,6,6,Int,40004,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40004
5,CHP1运行,冷冻水泵,manual_stop,V3.0,,8,8,Int,40005,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40005
6,CHP1故障,冷冻水泵,fault_alarm,V3.0,,10,10,Int,40006,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40006
7,CWP1远程,冷却水泵,remote_status,V3.0,,12,12,Int,40007,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40007
8,CWP1运行,冷却水泵,manual_stop,V3.0,,14,14,Int,40008,,1运行；0停止,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40008
9,CWP1故障,冷却水泵,fault_alarm,V3.0,,16,16,Int,40009,,1故障；0正常,,1,R,报警参数,3,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40009
10,FM101远程,阀门,remote_status,V3.0,,18,18,Int,40010,,1远程；0就地,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40010
11,FM101开到位,阀门,other,V3.0,,20,20,Int,40011,,1全开；0未全开,,1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-40011
