section,field_key,source_path,status,display_name,unit,blocking,fallback_strategy,notes
top_summary,counts.total,/bff/v1/sites/{siteId}/anomalies/summary.counts.total,partial,当前告警总数,条,no,"优先读 counts.total；若缺失且 high/medium/low 三项齐全，允许前端求和","合同字段已存在，但未收敛为标准字段主键"
top_summary,alarm_critical_count,"/bff/v1/sites/{siteId}/anomalies/summary.counts.high; /bff/v1/sites/{siteId}/dashboard/overview.alarmSummary.high",ready,紧急告警数,条,no,直接展示,"与字段字典和展示字典一致"
top_summary,alarm_major_count,"/bff/v1/sites/{siteId}/anomalies/summary.counts.medium; /bff/v1/sites/{siteId}/dashboard/overview.alarmSummary.medium",ready,严重告警数,条,no,直接展示,"与字段字典和展示字典一致"
top_summary,alarm_minor_count,"/bff/v1/sites/{siteId}/anomalies/summary.counts.low; /bff/v1/sites/{siteId}/dashboard/overview.alarmSummary.low",ready,一般告警数,条,no,直接展示,"与字段字典和展示字典一致"
top_summary,latest_alarm_time,/bff/v1/sites/{siteId}/anomalies/summary.latestEvents[0].occurredAt,partial,最近告警时间,-,no,"缺值显示 --","可用于顶部补充说明，但不强制作为主卡片"
recent_stream,anomaly_alarm_id,/bff/v1/sites/{siteId}/anomalies/summary.latestEvents[].id,partial,告警ID,-,no,"缺失时不猜业务 ID；仅允许 UI 内部使用临时 key","字段字典已定义，但本轮无 live 复证"
recent_stream,latestEvents[].title,/bff/v1/sites/{siteId}/anomalies/summary.latestEvents[].title,partial,告警标题,-,no,"缺值回退为 告警事件","当前为 contract-only 字段"
recent_stream,anomaly_occurred_at,/bff/v1/sites/{siteId}/anomalies/summary.latestEvents[].occurredAt,partial,告警发生时间,-,no,"缺值显示 --","字段字典已定义"
recent_stream,anomaly_severity,/bff/v1/sites/{siteId}/anomalies/summary.latestEvents[].severity,partial,异常等级,-,no,"缺值隐藏徽标或显示未知，不猜 high/medium/low","字段字典已定义，当前 DTO 使用 high/medium/low"
recent_stream,latestEvents[].source,/bff/v1/sites/{siteId}/anomalies/summary.latestEvents[].source,partial,告警来源,-,no,"缺值回退为 未知来源","当前为 contract-only 字段"
alarm_list_v1,anomaly_alarm_id,/bff/v1/sites/{siteId}/anomalies/summary.latestEvents[].id,partial,告警ID,-,no,"无稳定 ID 时不开放详情跳转","首版列表可仅用于展示"
alarm_list_v1,latestEvents[].title,/bff/v1/sites/{siteId}/anomalies/summary.latestEvents[].title,partial,告警标题,-,no,"缺值回退为 告警事件","首版列表最小字段之一"
alarm_list_v1,anomaly_occurred_at,/bff/v1/sites/{siteId}/anomalies/summary.latestEvents[].occurredAt,partial,告警发生时间,-,no,"缺值显示 --","首版列表最小字段之一"
alarm_list_v1,anomaly_severity,/bff/v1/sites/{siteId}/anomalies/summary.latestEvents[].severity,partial,异常等级,-,no,"缺值隐藏等级徽标","首版列表最小字段之一"
alarm_list_v1,anomaly_state,/bff/v1/sites/{siteId}/anomalies/summary.latestEvents[].state,missing,异常状态,-,no,"首版隐藏状态列与状态筛选","field-dictionary 已定义，但当前 DTO 未暴露"
freshness_source_status,freshness.latestTimestamp,/bff/v1/sites/{siteId}/anomalies/summary.freshness.latestTimestamp,partial,告警数据最新时间,-,no,"缺值显示 时间未知","仅用于提示层"
freshness_source_status,alarm_data_stale,"/bff/v1/sites/{siteId}/anomalies/summary.diagnosisFlags.staleAlarmFeed; /bff/v1/sites/{siteId}/anomalies/summary.freshness.stale",partial,告警数据陈旧,-,no,"路径缺失时显示 状态未知，不默认 fresh","当前是页面提示语义，非独立业务字段直出"
freshness_source_status,freshness.ageHours,/bff/v1/sites/{siteId}/anomalies/summary.freshness.ageHours,partial,告警数据时效,-,no,"仅用于 tooltip/诊断；缺值不展示","不建议做主文案"
freshness_source_status,sourceStatus.overall,/bff/v1/sites/{siteId}/anomalies/summary.sourceStatus.overall,partial,数据链路状态,-,no,"缺值显示 数据链路状态未知","控制提示条主色与主文案"
freshness_source_status,sourceStatus.sources[subsystemSummary].ok,/bff/v1/sites/{siteId}/anomalies/summary.sourceStatus.sources[key=subsystemSummary].ok,partial,子系统摘要链路,-,no,"缺值时隐藏该明细行","仅用于诊断提示"
freshness_source_status,sourceStatus.sources[latestAlarmLog].ok,/bff/v1/sites/{siteId}/anomalies/summary.sourceStatus.sources[key=latestAlarmLog].ok,partial,最新告警日志链路,-,no,"缺值时隐藏该明细行","仅用于诊断提示"
