page,required_field,current_source,current_status,migration_ready,blocker
告警页,alarm_critical_count,"/bff/v1/sites/{siteId}/dashboard/overview.alarmSummary.high; /{dbName}/getAllSubsystemInfo.alarmInfo","字段已建模；2026-03-12T21:52:05Z live overview.high=3；告警专用 summary 端点本轮未复取（8787 抖动）",partial,"主计数可迁；不阻断首版"
告警页,alarm_major_count,"/bff/v1/sites/{siteId}/dashboard/overview.alarmSummary.medium; /{dbName}/getAllSubsystemInfo.alarmInfo","字段已建模；overview 合同与 field-dictionary 一致",partial,"主计数可迁；不阻断首版"
告警页,alarm_minor_count,"/bff/v1/sites/{siteId}/dashboard/overview.alarmSummary.low; /{dbName}/getAllSubsystemInfo.alarmInfo","字段已建模；overview 合同与 field-dictionary 一致",partial,"主计数可迁；不阻断首版"
告警页,latest_alarm_time,"/bff/v1/sites/{siteId}/anomalies/summary.latestEvents[*].occurredAt; /zsqy/qsAlarmlog/{dbName}/findNewAlarmLog.time","字段已定义；当前轮次 live 未复证，但 DTO 已存在",partial,"若旧页要求历史分页或完整告警流，需补专用列表接口"
告警页,anomaly_severity,"/bff/v1/sites/{siteId}/anomalies/summary.latestEvents[*].severity; qsAlarmlog.alarmLevel + 映射规则","字段已定义；展示字典与 severity 口径已对齐",partial,"需锁定 critical/major/minor 映射，非阻断"
告警页,anomaly_state,"/zsqy/qsAlarmlog/{dbName}/findNewAlarmLog.alarmstate","field-dictionary 已定义，但当前 AnomalySummaryDto.latestEvents[] 未暴露该字段",partial,"BFF 合同缺 anomaly_state；若要迁完整状态流，这是当前主 blocker"
设备总览页,total_devices,"/bff/v1/sites/{siteId}/dashboard/overview.deviceSummary.totalDevices; /zsqy/drinfo/{siteId}/findObject","2026-03-12T21:52:05Z live overview.totalDevices=59",partial,"设备总数可直接迁"
设备总览页,deviceSummary.typeCounts,"/bff/v1/sites/{siteId}/dashboard/overview.deviceSummary.{chillerCount,chilledPumpCount,coolingPumpCount,coolingTowerCount}","2026-03-12T21:52:05Z live overview 返回 3/3/3/4；但这组字段尚未纳入 field-dictionary 正式键集",partial,"适合摘要版；如需统一字段字典需后补"
设备总览页,running_device_count,"126lnoffice.drinfo + reg(run点)+qstag+subinfo(subid=25)","字段已定义，但当前 overview/topology 合同未直接输出",partial,"缺统一 BFF 输出；旧页若展示运行台数会卡住"
设备总览页,alarm_device_count,"126lnoffice.drinfo + reg(reg_DrShowType in 2/3 or Isalarm=1)+qstag+subinfo","字段已定义，但当前 overview/topology 合同未直接输出",partial,"缺统一 BFF 输出；旧页若展示报警台数会卡住"
设备总览页,device_detail_states,"legacy drinfo + reg + qstag + subinfo","设备对象模型已在拓扑文档定义，但 shell 侧暂无统一明细 DTO",partial,"设备明细状态与点位钻取仍需统一 contract"
趋势分析页,station_total_power_kw,"/bff/v1/sites/{siteId}/dashboard/trends.stats[metric=totalPowerKw]; /dashboard/overview.energyCards.totalPowerKw","2026-03-12T21:52:05Z live overview.totalPowerKw=0.3；趋势样例存在；本轮 trends live 未复取",partial,"字段已恢复；需再做一次 runtime 稳定性复证"
趋势分析页,station_cop,"/bff/v1/sites/{siteId}/dashboard/trends.stats[metric=currentCop]; /dashboard/overview.energyCards.currentCop; recommendations.sourceStatus[key=metric.station_cop]","runtime-enhanced 文档已确认 null -> 0；sourceStatus 已从缺失收敛到 ok",partial,"值可消费但 0 值语义仍需人工复核"
趋势分析页,chilled_delta_t_c,"/bff/v1/sites/{siteId}/dashboard/trends.stats[metric=chilledDeltaT]; /dashboard/overview.energyCards.chilledDeltaT","runtime-enhanced 文档已确认 null -> 0.2",partial,"字段恢复完成；待趋势端点再复证一次"
趋势分析页,cooling_delta_t_c,"/bff/v1/sites/{siteId}/dashboard/trends.stats[metric=coolingDeltaT]; /dashboard/overview.energyCards.coolingDeltaT","runtime-enhanced 文档已确认 null -> 0.4",partial,"字段恢复完成；待趋势端点再复证一次"
趋势分析页,trend_ts,"/zsqy/homepage/{dbName}/getEnergyStatisticsCurve; getRunParamsCurve -> dashboard/trends.series[].points[].t","field-dictionary 已定义；dashboard-trends 示例存在；本轮 live 由于 8787 抖动未复取",partial,"当前 blocker 是运行态可达性，不是字段定义"
趋势分析页,trend_value,"/zsqy/homepage/{dbName}/getEnergyStatisticsCurve; getRunParamsCurve -> dashboard/trends.series[].points[].v","field-dictionary 已定义；需与 metric key 绑定后展示",partial,"当前 blocker 是趋势接口稳定性与 metric 绑定"
2D/3D 场景控制页,groups[],"/bff/v1/sites/{siteId}/topology.groups","system-topology 示例为 groups=[]；本轮 live probe 未连上 8787",no,"当前分组结构过弱，不足以承接 2D/3D 场景"
2D/3D 场景控制页,nodes[].downstream,"/bff/v1/sites/{siteId}/topology.nodes[].downstream","仅提供固定链式 downstream，不是真实可维护工艺边",no,"没有显式 edges[]；无法表达多支路/控制回路"
2D/3D 场景控制页,drinfo.model2dDataId,"126lnoffice.drinfo.model2dDataId; zsqy_v1.appmanager.model2d_dataId","拓扑文档已明确当前绑定点多为空",no,"模型绑定不完整，设备与场景对象无法稳定关联"
2D/3D 场景控制页,points[],"reg + qstag","点位源存在，但尚未形成面向场景控制的统一输出 contract",no,"控制点未统一输出，不能支撑场景控制页迁移"
