sync_field,latest_path,latest_check_path,meaning,release_impact,missing_default_behavior,fail_open_or_closed,mapping_note
"$.decision","semantic_base: $.reasons[]","N/A (top-level sync decision does not read latest-check payload fields directly)","Sync 链总决策位；由 top-level reasons 是否为空决定，而 reasons 以 command-center latest 为基底再并入 sync/check 失败原因。",blocking,missing_or_invalid_treated_as_NO-GO_and_exitCode_1,fail-closed,"also depends on sync/check command statuses, not only artifact payloads"
"$.summaryClass","semantic_base: $.decision + $.advisories[]","N/A (derived after sync-chain aggregation)","Sync 链摘要态；由 top-level decision 和 advisories 派生为 ready/blocked/review_required。",advisory,missing_treated_as_review_required_with_manual_review,fail-open,"review_required may be triggered by sync_chain_review_required"
"$.exitCode","semantic_base: $.decision","N/A","Sync 链退出码；由 top-level decision 派生，GO=0，NO-GO=1。",blocking,missing_or_invalid_treated_as_1,fail-closed,"not a direct mirror of latest or latest-check exitCode"
"$.reasons[]","$.reasons[]","N/A (payload fields not merged from latest-check; failures come from step status)","Sync 链阻断原因集合；以 command-center latest.reasons 为基底，再并入 sync/check 失败原因。",blocking,missing_treated_as_blocking_reason_unavailable_and_decision_NO-GO,fail-closed,"enriched union over latest reasons plus runtime sync/check failures"
"$.advisories[]","$.advisories[]","N/A (payload fields not merged from latest-check)","Sync 链提示项集合；以 command-center latest.advisories 为基底，链路任一步失败时再补 sync_chain_review_required。",advisory,missing_treated_as_empty_array,fail-open,"not a direct mirror because sync-chain advisory can be injected"
"$.firstAction","semantic_base: $.decision","N/A (depends on checkLatestCheck.ok step instead of latest-check payload field)","Sync 链首动作建议；由 top-level decision、sync 链状态、latest-check 校验状态组合生成。",info,fallback_to_manual_review_instruction,fail-open,"depends on syncOk and latestCheckOk runtime step state"
"$.source","N/A (constant sync_chain)","N/A (does not mirror latest-check.source)","Sync 输出来源标识，固定为 sync_chain，表示该文件是一次性同步链聚合结果。",blocking,missing_source_treated_as_not_traceable_sync_result,fail-closed,"constant field, not propagated from upstream artifacts"
"$.generatedAt","N/A (generated by sync script at write time)","N/A (not mirrored from latest-check.generatedAt)","Sync 输出生成时间；反映本次同步链结果写盘时刻。",advisory,missing_treated_as_unknown_sync_freshness,fail-open,"audit/freshness field only"
"$.releaseCommandCenter.decision","$.decision","N/A","直接镜像 command-center latest.decision，保留上游 latest 原始决策。",blocking,missing_treated_as_NO-GO,fail-closed,direct_mirror_from_latest
"$.releaseCommandCenter.summaryClass","$.summaryClass","N/A","直接镜像 command-center latest.summaryClass。",advisory,missing_treated_as_review_required,fail-open,direct_mirror_from_latest
"$.releaseCommandCenter.exitCode","$.exitCode","N/A","直接镜像 command-center latest.exitCode。",blocking,missing_treated_as_1,fail-closed,direct_mirror_from_latest
"$.releaseCommandCenter.generatedAt","$.generatedAt","N/A","直接镜像 command-center latest.generatedAt。",advisory,missing_treated_as_unknown_upstream_latest_freshness,fail-open,direct_mirror_from_latest
"$.releaseCommandCenter.reasons[]","$.reasons[]","N/A","直接镜像 command-center latest.reasons[]。",blocking,missing_treated_as_blocking_reason_unavailable,fail-closed,direct_mirror_from_latest
"$.releaseCommandCenter.advisories[]","$.advisories[]","N/A","直接镜像 command-center latest.advisories[]。",advisory,missing_treated_as_empty_array,fail-open,direct_mirror_from_latest
"$.releaseCommandCenterLatestCheck.decision","N/A","$.decision","直接镜像 command-center latest-check.decision。",blocking,missing_treated_as_NO-GO,fail-closed,direct_mirror_from_latest_check
"$.releaseCommandCenterLatestCheck.summaryClass","N/A","$.summaryClass","直接镜像 command-center latest-check.summaryClass。",advisory,missing_treated_as_review_required,fail-open,direct_mirror_from_latest_check
"$.releaseCommandCenterLatestCheck.exitCode","N/A","$.exitCode","直接镜像 command-center latest-check.exitCode。",blocking,missing_treated_as_1,fail-closed,direct_mirror_from_latest_check
"$.releaseCommandCenterLatestCheck.generatedAt","N/A","$.generatedAt","直接镜像 command-center latest-check.generatedAt。",advisory,missing_treated_as_unknown_upstream_latest_check_freshness,fail-open,direct_mirror_from_latest_check
"$.releaseCommandCenterLatestCheck.consistencyOk","N/A","$.consistencyOk","直接镜像 command-center latest-check.consistencyOk，表示投影层关键一致性门禁是否通过。",blocking,missing_treated_as_false,fail-closed,direct_mirror_from_latest_check
