priority,deviceCode,deviceName,zoneTemperatureC,setpointC,running,communicationAlarm,qualityStatus,reasons,communicationAlarmTag,communicationAlarmValue,zoneTemperatureTag,zoneTemperatureValue,setpointFeedbackTag,setpointFeedbackValue,runTag,runValue,fieldActions,releaseCriteria
P1,BGS02,办公室02,28,16,false,false,ok,setpoint_feedback_out_of_bounds,BGS02-502-40074,0,BGS02-506-40203,28.0,BGS02-506-40207,16.0,BGS02-502-40073,0,复核设定反馈点 BGS02-506-40207，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
P0,BGS03,办公室03,0,0,false,true,invalid,communication_alarm；zero_temperature；invalid_temperature；temperature_quality_guard；setpoint_feedback_out_of_bounds,BGS03-502-40078,1,BGS03-506-40219,0.0,BGS03-506-40223,0.0,BGS03-502-40077,0,现场确认 FCU 控制器供电、通讯线、地址、网关轮询和 BA 通讯报警复位。；核对通讯报警点 BGS03-502-40078 是否仍为 1。；核对内置温度点 BGS03-506-40219，0°C 不允许进入闭环。；补齐或修复区域温度点 BGS03-506-40219，缺温度时禁止进入闭环。；复核设定反馈点 BGS03-506-40223，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定；0°C 原始点恢复为有效温度
P0,BGS04,办公室04,0,0,false,true,invalid,communication_alarm；zero_temperature；invalid_temperature；temperature_quality_guard；setpoint_feedback_out_of_bounds,BGS04-502-40158,1,BGS04-506-40539,0.0,BGS04-506-40543,0.0,BGS04-502-40157,0,现场确认 FCU 控制器供电、通讯线、地址、网关轮询和 BA 通讯报警复位。；核对通讯报警点 BGS04-502-40158 是否仍为 1。；核对内置温度点 BGS04-506-40539，0°C 不允许进入闭环。；补齐或修复区域温度点 BGS04-506-40539，缺温度时禁止进入闭环。；复核设定反馈点 BGS04-506-40543，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定；0°C 原始点恢复为有效温度
P0,BGS06,办公室06,22,24,false,true,invalid,communication_alarm,BGS06-502-40166,1,BGS06-506-40571,22.0,BGS06-506-40575,24.0,BGS06-502-40165,0,现场确认 FCU 控制器供电、通讯线、地址、网关轮询和 BA 通讯报警复位。；核对通讯报警点 BGS06-502-40166 是否仍为 1。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
P1,CWS,财务室,28,16,false,false,ok,setpoint_feedback_out_of_bounds,CWS-502-40086,0,CWS-506-40251,28.0,CWS-506-40255,16.0,CWS-502-40085,0,复核设定反馈点 CWS-506-40255，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
P1,DHYS,大会议室,29,19,false,false,ok,setpoint_feedback_out_of_bounds,DHYS-502-40174,0,DHYS-506-40603,29.0,DHYS-506-40607,19.0,DHYS-502-40173,0,复核设定反馈点 DHYS-506-40607，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
P1,GCBGQ01,工程办公区01,28,10,false,false,ok,setpoint_feedback_out_of_bounds,GCBGQ01-502-40142,0,GCBGQ01-506-40475,28.0,GCBGQ01-506-40479,10.0,GCBGQ01-502-40141,0,复核设定反馈点 GCBGQ01-506-40479，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
P1,GCBGQ02,工程办公区02,28,10,false,false,ok,setpoint_feedback_out_of_bounds,GCBGQ02-502-40146,0,GCBGQ02-506-40491,28.0,GCBGQ02-506-40495,10.0,GCBGQ02-502-40145,0,复核设定反馈点 GCBGQ02-506-40495，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
P0,GCBGQ03,工程办公区03,31,19,false,true,invalid,communication_alarm；setpoint_feedback_out_of_bounds,GCBGQ03-502-40150,1,GCBGQ03-506-40507,31.0,GCBGQ03-506-40511,19.0,GCBGQ03-502-40149,0,现场确认 FCU 控制器供电、通讯线、地址、网关轮询和 BA 通讯报警复位。；核对通讯报警点 GCBGQ03-502-40150 是否仍为 1。；复核设定反馈点 GCBGQ03-506-40511，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
P1,JDS,接待室,28,15,false,false,ok,setpoint_feedback_out_of_bounds,JDS-502-40178,0,JDS-506-40619,28.0,JDS-506-40623,15.0,JDS-502-40177,0,复核设定反馈点 JDS-506-40623，超出策略边界时禁止自动闭环，需人工确认后分步拉回。,communicationAlarm=0；zoneTemperatureC 在 5-45°C；setpointFeedbackC 在策略允许范围内；启停、设定、风速写点均已映射且 writable=true；quality.status=ok；连续两次采样保持正常；未处于本地手动/禁控/回退锁定
