row_type,snapshot_field,source_file,source_command_or_step,field_logic,decision_impact,missing_default_behavior
lineage,gates.contractOk,docs/v1.8-release-preflight.json,scripts/release_preflight_v1_8.sh -> npm run check:contract,true when contract gate passes else false,blocking,N/A
lineage,gates.statusJsonOk,docs/v1.8-release-preflight.json,scripts/release_preflight_v1_8.sh -> npm run check:status-json,true when status-json gate passes else false,blocking,N/A
lineage,gates.shellOk,docs/v1.8-release-preflight.json,scripts/release_preflight_v1_8.sh -> cd apps/chiller-shell-v1 && npm run build,true when shell build passes else false,blocking,N/A
lineage,gates.releaseGateOk,docs/v1.8-release-preflight.json,scripts/release_preflight_v1_8.sh -> scripts/chiller_ctl.sh release-gate-latest,true when release-gate-latest step exits 0 else false,blocking,if release-gate-latest generation fails then false
lineage,preflightPass,docs/v1.8-release-preflight.json,scripts/release_preflight_v1_8.sh node payload aggregation,contractOk && statusJsonOk && shellOk && releaseGateOk && (runtimeRequired ? stackOk : true),blocking,N/A
lineage,releaseGate.decision,docs/release-gate-latest.json -> docs/v1.8-release-preflight.json,scripts/chiller_ctl.sh release-gate-latest (internally release-gate --json),GO/NO-GO final gate decision,blocking,if missing at preflight aggregation then releaseGate may be null and releaseGateOk should be false
lineage,releaseGate.reasons,docs/release-gate-latest.json -> docs/v1.8-release-preflight.json,scripts/chiller_ctl.sh release-gate,array of blocking causes such as canonical_missing canonical_not_pass freshness_not_fresh_strict,blocking,defaults to [] only when releaseGate object exists
lineage,releaseGate.advisories,docs/release-gate-latest.json -> docs/v1.8-release-preflight.json,scripts/chiller_ctl.sh release-gate,array of non-blocking hints such as runtime_unavailable_snapshot_present freshness_warn,advisory,defaults to [] only when releaseGate object exists
missing_default,file:docs/v19.2-acceptance-report.json,N/A,scripts/chiller_ctl.sh release-gate,canonical missing => reasons include canonical_missing decision NO-GO,blocking,release-gate-latest returns non-zero and preflight releaseGateOk=false
missing_default,file:docs/release-gate-latest.json,N/A,scripts/release_preflight_v1_8.sh Release Gate Sync step,preflight tries to regenerate via chiller_ctl.sh release-gate-latest,blocking,if regenerate fails then releaseGateOk=false preflightPass=false
missing_default,file:docs/v1.8-release-preflight.json,N/A,preflight consumer stage,no preflight snapshot means no auditable preflightPass baseline,blocking,must rerun scripts/release_preflight_v1_8.sh before release decision
