序号,名称,设备分类,信号角色,最后修改版本,修改类型,S7地址,S7字,数据类型,Modbus寄存器,Modbus位,描述,单位,系数,读写类型,分组,报警等级,权限等级,网关设备地址,从站地址,控制风险,点位编码建议
1023,CHP1频率手动给定,冷冻水泵,mode,V1.4,修改系数,2044,2044,Int,41023,,0手动；1自动,HZ,1,RW,控制参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41023
1028,CHP2频率手动给定,冷冻水泵,mode,V1.4,修改系数,2054,2054,Int,41028,,0手动；1自动,HZ,1,RW,控制参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41028
1033,CHP3频率手动给定,冷冻水泵,frequency_command,V1.4,修改系数,2064,2064,Int,41033,,1Hz,HZ,1,RW,控制参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41033
1038,CHP4频率手动给定,冷冻水泵,frequency_command,V1.4,修改系数,2074,2074,Int,41038,,1Hz,HZ,1,RW,控制参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41038
1043,CHP5频率手动给定,冷冻水泵,frequency_command,V1.4,修改系数,2084,2084,Int,41043,,1Hz,HZ,1,RW,控制参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41043
1048,CHP6频率手动给定,冷冻水泵,frequency_command,V1.4,修改系数,2094,2094,Int,41048,,1Hz,HZ,1,RW,控制参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41048
1053,CWP1频率手动给定,冷却水泵,frequency_command,V1.4,修改系数,2104,2104,Int,41053,,1Hz,HZ,1,RW,控制参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41053
1059,CWP2频率手动给定,冷却水泵,frequency_command,V1.3,修改端口号,2116,2116,Int,41059,,0.1Hz,HZ,0.1,RW,控制参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41059
1065,CWP3频率手动给定,冷却水泵,frequency_command,V1.3,修改端口号,2128,2128,Int,41065,,0.1Hz,HZ,0.1,RW,控制参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41065
1071,CWP4频率手动给定,冷却水泵,frequency_command,V1.3,修改端口号,2140,2140,Int,41071,,0.1Hz,HZ,0.1,RW,控制参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41071
1077,CWP5频率手动给定,冷却水泵,frequency_command,V1.3,修改端口号,2152,2152,Int,41077,,0.1Hz,HZ,0.1,RW,控制参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41077
1083,CWP6频率手动给定,冷却水泵,frequency_command,V1.3,修改端口号,2164,2164,Int,41083,,0.1Hz,HZ,0.1,RW,控制参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41083
1307,CHP1频率修正,冷冻水泵,other,V1.4,修改名称,2612,2612,Int,41307,,1Hz,Hz,1,RW,水泵参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41307
1308,CHP2频率修正,冷冻水泵,other,V1.4,修改名称,2614,2614,Int,41308,,1Hz,Hz,1,RW,水泵参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41308
1309,CHP3频率修正,冷冻水泵,other,V1.4,修改名称,2616,2616,Int,41309,,1Hz,Hz,1,RW,水泵参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41309
1310,CHP4频率修正,冷冻水泵,other,V1.4,修改名称,2618,2618,Int,41310,,1Hz,Hz,1,RW,水泵参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41310
1311,CHP5频率修正,冷冻水泵,other,V1.4,修改名称,2620,2620,Int,41311,,1Hz,Hz,1,RW,水泵参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41311
1312,CHP6频率修正,冷冻水泵,other,V1.4,修改名称,2622,2622,Int,41312,,1Hz,Hz,1,RW,水泵参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41312
1313,CWP1频率修正,冷却水泵,other,V1.4,修改名称,2624,2624,Int,41313,,1Hz,Hz,1,RW,水泵参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41313
1314,CWP2频率修正,冷却水泵,other,V1.4,修改名称,2626,2626,Int,41314,,1Hz,Hz,1,RW,水泵参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41314
1315,CWP3频率修正,冷却水泵,other,V1.4,修改名称,2628,2628,Int,41315,,1Hz,Hz,1,RW,水泵参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41315
1316,CWP4频率修正,冷却水泵,other,V1.4,修改名称,2630,2630,Int,41316,,1Hz,Hz,1,RW,水泵参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41316
1317,CWP5频率修正,冷却水泵,other,V1.4,修改名称,2632,2632,Int,41317,,1Hz,Hz,1,RW,水泵参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41317
1318,CWP6频率修正,冷却水泵,other,V1.4,修改名称,2634,2634,Int,41318,,1Hz,Hz,1,RW,水泵参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41318
1325,SY冷却塔温度手自动,冷却塔风机,mode,V1.3,修改端口号,2648,2648,Int,41325,,1自动；0手动,,1,RW,冷却塔参数,0,1,192.168.2.200:521,64,高-启停/模式类写点,SY-1-509-41325
1344,FM107旁通阀目标压差给定,阀门,setpoint,V1.3,修改端口号,2686,2686,Int,41344,,0.1kpa,Kpa,0.1,RW,控制参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41344
1374,CHP7频率手自动,冷冻水泵,mode,V3.7,修改,2746,2746,Int,41374,,1自动；0手动,,1,RW,控制参数,0,1,192.168.2.200:521,64,高-启停/模式类写点,SY-1-509-41374
1378,CWP7频率手自动,冷却水泵,mode,V3.7,新增,2754,2754,Int,41378,,1自动；0手动,,1,RW,控制参数,0,1,192.168.2.200:521,64,高-启停/模式类写点,SY-1-509-41378
1400,SY冷却温度上限,传感器/计量,setpoint,V4.4,删除,2816,2816,real,41409,,,℃,1,RW,冷却塔参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41409
1401,SY冷却温度下限,传感器/计量,setpoint,V3.8,修改名称,2820,2820,real,41411,,,℃,1,RW,冷却塔参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41411
1402,SY冷却回水手动值,其他,setpoint,V3.8,修改名称,2824,2824,real,41413,,,℃,1,RW,冷却塔参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41413
1403,SY冷却回水目标值,其他,setpoint,V4.4,修改只读,2828,2828,real,41415,,,℃,1,R,冷却塔参数,0,0,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41415
1404,SY冷却回水自动值,其他,mode,V4.4,修改只读,2832,2832,real,41417,,,℃,1,R,冷却塔参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-41417
1443,CHP7频率手动给定,冷冻水泵,frequency_command,V4.2,新增,2988,2988,real,41495,,1Hz,HZ,1,RW,控制参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41495
1444,CWP7频率手动给定,冷却水泵,frequency_command,V4.2,新增,2992,2992,real,41497,,1Hz,HZ,1,RW,控制参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41497
1456,SY冷却塔风机加载频率设定,冷却塔风机,setpoint,V4.5,删除,3040,3040,real,41521,,1Hz,HZ,1,RW,冷却塔参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41521
1457,SY冷却塔风机减载频率设定,冷却塔风机,setpoint,V4.5,删除,3044,3044,real,41523,,1Hz,HZ,1,RW,冷却塔参数,0,1,192.168.2.200:521,64,中-设定/目标类写点,SY-1-509-41523
1696,CHP1频率反馈,冷冻水泵,frequency_feedback,V3.0,,4000,4000,Int,42001,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42001
1697,CHP2频率反馈,冷冻水泵,frequency_feedback,V3.0,,4002,4002,Int,42002,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42002
1698,CHP3频率反馈,冷冻水泵,frequency_feedback,V3.0,,4004,4004,Int,42003,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42003
1699,CHP4频率反馈,冷冻水泵,frequency_feedback,V3.0,,4006,4006,Int,42004,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42004
1700,CHP5频率反馈,冷冻水泵,frequency_feedback,V3.0,,4008,4008,Int,42005,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42005
1701,CHP6频率反馈,冷冻水泵,frequency_feedback,V3.0,,4010,4010,Int,42006,,,Hz,0.1,R,运行参数,0,0,192.168.2.200:521,64,低-只读或未标可写,SY-1-509-42006
