section,field_key,display_name,source_candidate,status,blocking,fallback_strategy
tree_minimum,nodeId,树节点ID,"主候选: legacy /api/device/{dbName}/data/tree?build={build}&floor={floor}&mock=false -> id; 弱代理: /bff/v1/sites/{siteId}/system/topology -> groups[].id / nodes[].id",partial,yes,"BFF 需统一 nodeId; 禁止前端直接把旧树 id 和 topology id 混用"
tree_minimum,nodeName,树节点名称,"主候选: legacy data/tree -> name; 弱代理: topology.groups[].name / nodes[].label",partial,yes,"旧树 name 可用但需 BFF 统一层级含义; 不直接透传旧树多语义节点"
tree_minimum,nodeType,树节点类型,"BFF 基于 legacy data/tree 层级 + drinfo 补齐，建议枚举: root|device|point",partial,yes,"首版必须由 BFF 归一化; 禁止前端按 children 有无自行猜类型"
tree_minimum,children,子节点列表,"主候选: legacy data/tree -> children[]",partial,yes,"保留嵌套结构; 若无子节点返回 []"
tree_minimum,deviceIdRef,关联设备ID,"主候选: legacy data/tree 设备层 id; 补充来源: drinfo.drid",partial,no,"点位节点可为 null; 设备节点必须可回指 drid"
tree_flags,isVirtual,是否虚拟设备,"主候选: drinfo.typeYT(1实体/2虚拟); 需与 tree 设备节点 join",partial,no,"Sprint2 可先不显示虚拟标签; 禁止按名称猜虚拟设备"
tree_flags,runStatusText,运行状态,"候选: reg + qstag + subinfo; 或 /api/device/{dbName}/device/data",missing,no,"树节点首版可不显示运行态 pill; 显示 --"
tree_flags,alarmStatusText,报警状态,"候选: reg(reg_DrShowType in 2/3 or Isalarm=1) + qstag + subinfo; 或 /api/device/{dbName}/device/data",missing,no,"树节点首版可不显示报警态 pill; 显示 --"
tree_status,sourceStatus,树来源状态,"目标来源: BFF devices/tree 对 legacy data/tree + drinfo 的统一包装",partial,yes,"若 tree 接口未实现则不可联调; 实现后至少输出 overall + sources"
tree_status,freshness,树数据新鲜度,"目标来源: BFF devices/tree freshness; legacy data/tree 当前无稳定 timestamp",missing,no,"可先不显示 freshness, 但不要伪造时间戳"
detail_minimum,deviceId,设备ID,"主候选: BFF devices/list.items[].deviceId; fallback drinfo.drid",partial,yes,"详情接口落地前可从列表 row 传入; 但详情返回仍需自己直出"
detail_minimum,deviceCode,设备编码,"主候选: devices/list.items[].deviceCode; fallback drinfo.drcode",partial,yes,"缺失时显示 --; 不阻止 BFF 先定合同"
detail_minimum,deviceName,设备名称,"主候选: devices/list.items[].deviceName; fallback drinfo.drname",partial,yes,"缺失时显示 Device; 但正式合同必须带该字段"
detail_minimum,deviceTypeCode,设备类型编码,"主候选: drtypeinfo.drTypeCode + drinfo.drtypeid; 次选: BFF 归一 systemType",partial,no,"若暂缺原始编码，可先保留归一化 systemType; 后续补完整编码"
detail_minimum,deviceTypeName,设备类型名,"主候选: drinfo.drtypename",partial,no,"可先直接显示 drtypename"
detail_minimum,floorName,所在楼层,"主候选: drinfo.floorName; 次选: devices/list.items[].floorName",partial,no,"缺失时显示 unknown"
detail_minimum,buildingName,所在楼栋,"主候选: drinfo.buildname; 次选: devices/list.items[].buildingName",partial,no,"缺失时显示 unknown"
detail_flags,isVirtual,是否虚拟设备,"主候选: drinfo.typeYT",partial,no,"详情首屏可先展示 实体/虚拟; 若字段未接则隐藏标签"
detail_flags,runStatusText,运行状态,"候选: reg + qstag + subinfo(subid=25等) 或 /api/device/{dbName}/device/data",missing,yes,"详情首屏不应拿 drUseState 代替; 未接好前不要渲染为真实状态"
detail_flags,alarmStatusText,报警状态,"候选: reg + qstag + subinfo / old device detail",missing,yes,"未接好前只显示 --; 禁止用页面告警总数反推"
detail_flags,latestUpdateAt,最近更新时间,"候选: qstag.updatetime(设备关键点最大时间)",missing,no,"未接好前可隐藏或显示 --"
detail_flags,modelBindings,模型绑定,"主候选: drinfo.model2dDataId",partial,no,"为空时返回 null; 不阻断详情首屏"
detail_flags,position,坐标,"主候选: drinfo.pointX/pointY/pointZ",partial,no,"为空时返回 null; 用于后续 2D/3D 联动"
detail_status,sourceStatus,详情来源状态,"目标来源: BFF devices/{deviceId} 对 drinfo + device/data 的统一包装",missing,yes,"在 detail 路由未实现前不可宣称可联调"
detail_status,freshness,详情数据新鲜度,"目标来源: BFF devices/{deviceId}.freshness; 候选基础: qstag.updatetime",missing,yes,"未接好前不可伪造 freshness"
