section,field_key,source_path,status,blocking,fallback_strategy,display_name,note
top_summary,station_total_power_kw,"/bff/v1/sites/{siteId}/dashboard/overview.energyCards.totalPowerKw; /bff/v1/sites/{siteId}/dashboard/trends.stats[metric=totalPowerKw].latest",ready,no,"优先 overview；缺失回退 trends.stats.latest；再缺失显示 --",冷站总功率,"overview 与 trends example 均有值，可直接做卡片"
top_summary,station_cop,"/bff/v1/sites/{siteId}/dashboard/overview.energyCards.currentCop; /bff/v1/sites/{siteId}/dashboard/trends.stats[metric=currentCop].latest",partial,no,"优先 overview；若缺失或当前语义待校验，显示 -- / 待校验",冷站COP,"runtime-enhanced 对 currentCop=0 保留 warning"
top_summary,chilled_delta_t_c,"/bff/v1/sites/{siteId}/dashboard/overview.energyCards.chilledDeltaT; /bff/v1/sites/{siteId}/dashboard/trends.stats[metric=chilledDeltaT].latest",ready,no,"优先 overview；缺失回退 trends.stats.latest；再缺失显示 --",冷冻水温差,"runtime-enhanced 已确认恢复"
top_summary,cooling_delta_t_c,"/bff/v1/sites/{siteId}/dashboard/overview.energyCards.coolingDeltaT; /bff/v1/sites/{siteId}/dashboard/trends.stats[metric=coolingDeltaT].latest",ready,no,"优先 overview；缺失回退 trends.stats.latest；再缺失显示 --",冷却水温差,"overview 已恢复；趋势 completeness 单独在 chart/stats 评估"
main_trend_chart,trends.range,/bff/v1/sites/{siteId}/dashboard/trends.range,ready,no,"缺失时默认 24h，并保留前端 range switch 本地状态",时间范围,"TrendAnalysisPage 直接消费 range"
main_trend_chart,trend_ts,/bff/v1/sites/{siteId}/dashboard/trends.series[].points[].t,ready,no,"非法时间点直接丢弃；全量缺失时走 noSeries",趋势时间点,"TrendPanel 用 points[].t 生成时间轴"
main_trend_chart,trend_value,/bff/v1/sites/{siteId}/dashboard/trends.series[].points[].v,ready,no,"非有限值丢弃；连续有效点<3 时走 continuityHint",趋势点值,"TrendPanel 至少要求 3 个连续有效点"
main_trend_chart,station_total_power_kw,/bff/v1/sites/{siteId}/dashboard/trends.series[metric=totalPowerKw],ready,no,"若单指标缺失则隐藏该线，保留其他有效曲线",冷站总功率,"example 已提供 totalPowerKw 序列"
main_trend_chart,station_cop,/bff/v1/sites/{siteId}/dashboard/trends.series[metric=currentCop],partial,no,"序列缺失或语义待校验时隐藏 COP 线，保留其他曲线",冷站COP,"example 有 COP 序列，但 runtime 语义仍需观察"
main_trend_chart,chilled_delta_t_c,/bff/v1/sites/{siteId}/dashboard/trends.series[metric=chilledDeltaT],ready,no,"序列缺失时隐藏该线并保留 continuity/noSeries 文案",冷冻水温差,"example 已提供 chilledDeltaT 序列"
main_trend_chart,cooling_delta_t_c,/bff/v1/sites/{siteId}/dashboard/trends.series[metric=coolingDeltaT],partial,no,"若 coolingDeltaT 序列未返回，iteration1 先接受 3 线图",冷却水温差,"adapter 已组装该 metric，但 example 未给出该线"
stats,station_total_power_kw,/bff/v1/sites/{siteId}/dashboard/trends.stats[metric=totalPowerKw].latest|min|max,ready,no,"缺失时该卡不渲染，整区允许显示 noStats",冷站总功率,"example 已提供 latest/min/max"
stats,station_cop,/bff/v1/sites/{siteId}/dashboard/trends.stats[metric=currentCop].latest|min|max,partial,no,"缺失或语义待校验时显示 -- / 待校验",冷站COP,"数值可展示但不宜过度业务化"
stats,chilled_delta_t_c,/bff/v1/sites/{siteId}/dashboard/trends.stats[metric=chilledDeltaT].latest|min|max,ready,no,"缺失时单卡隐藏，整区可降级 noStats",冷冻水温差,"example 已提供 latest/min/max"
stats,cooling_delta_t_c,/bff/v1/sites/{siteId}/dashboard/trends.stats[metric=coolingDeltaT].latest|min|max,partial,no,"若 stats 缺失则先不展示 coolingDeltaT 统计卡",冷却水温差,"example 当前无 coolingDeltaT stats"
freshness_sourceStatus,overview.freshness.latestTimestamp,/bff/v1/sites/{siteId}/dashboard/overview.freshness.latestTimestamp,ready,no,"缺失时顶部提示退化为 partialDataset",总览最新时间,"摘要卡 stale 判断依赖 overview/trends 合并"
freshness_sourceStatus,overview.freshness.stale,/bff/v1/sites/{siteId}/dashboard/overview.freshness.stale,ready,no,"缺失时按 warn 处理，不冒充实时",总览陈旧标记,"buildTrendKpis 已合并 overview/trends stale"
freshness_sourceStatus,overview.sourceStatus.overall,/bff/v1/sites/{siteId}/dashboard/overview.sourceStatus.overall,ready,no,"缺失时顶部 banner 退化为 partial/fallback",总览来源状态,"SourceStatusBanner 直接消费"
freshness_sourceStatus,overview.sourceStatus.sources[],/bff/v1/sites/{siteId}/dashboard/overview.sourceStatus.sources[],ready,no,"缺失时仅展示 summary，不展开来源明细",总览来源明细,"detailLines/detailLinesCompact 均依赖 sources[]"
