center_field,upstream_release_ready_path,upstream_snapshot_diff_path,meaning,release_impact,missing_default_behavior,fail_open_or_closed,mapping_note
"$.decision","semantic_base: $.decision + $.reasons[]","semantic_analog: $.diff.current_decision","Command-center 主决策位；实际由聚合后的 reasons 是否为空决定，不直接镜像 release-ready-latest.decision。",blocking,missing_or_invalid_treated_as_NO-GO_and_exitCode_1,fail-closed,"also depends on release-ready-consistency and check-family gates"
"$.summaryClass","semantic_base: $.decision + $.advisories[]","semantic_analog: $.diff.current_decision + $.diff.advisories_added[]","操作层摘要态；blocked/review_required/ready 由中心 decision 和 advisories 派生。",advisory,missing_treated_as_review_required_with_manual_review,fail-open,"final derivation also depends on check-family freshness advisory"
"$.exitCode","semantic_base: $.exitCode + $.decision","N/A","Command-center 退出码；由中心 decision 派生，GO=0，NO-GO=1。",blocking,missing_or_invalid_treated_as_1,fail-closed,"not a direct mirror of release-ready-latest.exitCode"
"$.reasons[]","$.reasons[]","semantic_analog: $.diff.reasons_added[] / $.diff.reasons_removed[]","中心阻断原因集合；以 release-ready-latest.reasons 为基底，再并入 sync/check-family/consistency 失败原因。",blocking,missing_treated_as_blocking_reason_unavailable_and_decision_NO-GO,fail-closed,"enriched union, not direct mirror"
"$.advisories[]","$.advisories[]","semantic_analog: $.diff.advisories_added[] / $.diff.advisories_removed[]","中心提示项集合；以 release-ready-latest.advisories 为基底，再并入 check-family freshness 非 fresh 提示。",advisory,missing_treated_as_empty_array,fail-open,"freshness advisory comes from check-family-brief, not snapshot diff"
"$.firstAction","semantic_base: $.decision","N/A","给操作员的首个动作建议；由中心 decision、sync/check 状态和 freshnessState 组合生成。",info,fallback_to_manual_review_instruction,fail-open,"also depends on syncCheckFamily, releaseReadyLatestCheck, releaseReadyConsistency, checkFamilyBriefLatest.freshnessState"
"$.generatedAt","N/A (center generated at sync time; compare with $.generatedAt)","semantic_analog: $.diff.generated_at_delta_sec","中心快照生成时间，不是 release-ready-latest.generatedAt 的直传。",advisory,missing_treated_as_unknown_freshness_timestamp,fail-open,"used for freshness and audit trace, not direct gate flip"
"$.releaseReadyLatest.decision","$.decision","semantic_analog: $.diff.current_decision","直接镜像 release-ready-latest.decision，便于 command-center 就地展示上游原始判定。",blocking,missing_treated_as_NO-GO,fail-closed,direct_mirror
"$.releaseReadyLatest.exitCode","$.exitCode","N/A","直接镜像 release-ready-latest.exitCode。",blocking,missing_treated_as_1,fail-closed,direct_mirror
"$.releaseReadyLatest.generatedAt","$.generatedAt","semantic_analog: $.diff.generated_at_delta_sec","直接镜像 release-ready-latest.generatedAt，供操作端判断上游快照时效。",advisory,missing_treated_as_unknown_upstream_freshness,fail-open,direct_mirror
"$.releaseReadyLatest.reasons[]","$.reasons[]","semantic_analog: $.diff.reasons_added[] / $.diff.reasons_removed[]","直接镜像 release-ready-latest.reasons[]，与中心 top-level enriched reasons 分层保留。",blocking,missing_treated_as_blocking_reason_unavailable,fail-closed,"direct mirror of upstream raw reason layer"
"$.releaseReadyLatest.advisories[]","$.advisories[]","semantic_analog: $.diff.advisories_added[] / $.diff.advisories_removed[]","直接镜像 release-ready-latest.advisories[]，不并入中心 freshness 衍生提示。",advisory,missing_treated_as_empty_array,fail-open,"direct mirror of upstream raw advisory layer"
"$.releaseReadyLatest.consistencyOk","$.consistencyOk","N/A","直接镜像 release-ready-latest.consistencyOk。",blocking,missing_treated_as_false,fail-closed,direct_mirror
"$.releaseReadyLatest.verifyGatesOk","$.verifyGatesOk","N/A","直接镜像 release-ready-latest.verifyGatesOk。",blocking,missing_treated_as_false,fail-closed,direct_mirror
